per_code,moe_code,stu_a3,stu_a1,stu_a2,stu_p1,stu_p2,stu_p3,stu_p4,stu_p5,stu_p6,stu_m1,stu_m2,stu_m3,stu_m4,stu_m5,stu_m6,stu_c1,stu_c2,stu_c3,room_a3,room_a1,room_a2,room_p1,room_p2,room_p3,room_p4,room_p5,room_p6,room_m1,room_m2,room_m3,room_m4,room_m5,room_m6,room_c1,room_c2,room_c3,room_real,student_real,room_stand,size_school,room_a3s,room_a1s,room_a2s,room_p1s,room_p2s,room_p3s,room_p4s,room_p5s,room_p6s,room_m1s,room_m2s,room_m3s,room_m4s,room_m5s,room_m6s,room_c1s,room_c2s,room_c3s
720040,1010720040,0,0,0,0,0,0,0,0,0,540,558,564,542,452,475,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,0,0,0,84,3131,81,7,0,0,0,0,0,0,0,0,0,14,14,15,14,12,12,0,0,0
720047,1010720047,0,0,0,0,0,0,0,0,0,86,69,61,60,87,59,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,0,0,0,19,422,14,4,0,0,0,0,0,0,0,0,0,3,2,2,2,3,2,0,0,0
720039,1010720039,0,0,0,0,0,0,0,0,0,494,555,565,526,496,544,0,0,0,0,0,0,0,0,0,0,0,0,13,15,15,15,14,14,0,0,0,86,3180,83,7,0,0,0,0,0,0,0,0,0,13,14,15,14,13,14,0,0,0
720046,1010720046,0,0,0,0,0,0,0,0,0,133,141,176,119,111,115,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,6,6,6,0,0,0,39,795,22,5,0,0,0,0,0,0,0,0,0,4,4,5,3,3,3,0,0,0
720048,1010720048,0,0,0,0,0,0,0,0,0,517,553,556,681,690,634,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,20,20,19,0,0,0,104,3631,93,7,0,0,0,0,0,0,0,0,0,13,14,14,18,18,16,0,0,0
720041,1010720041,0,0,0,0,0,0,0,0,0,49,53,65,43,44,46,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,12,300,12,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0
720042,1010720042,0,0,0,0,0,0,0,0,0,357,367,395,269,258,262,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,8,8,8,0,0,0,60,1908,50,6,0,0,0,0,0,0,0,0,0,9,10,10,7,7,7,0,0,0
720049,1010720049,0,0,0,0,0,0,0,0,0,87,69,99,36,45,52,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,4,4,0,0,0,19,388,13,4,0,0,0,0,0,0,0,0,0,3,2,3,1,2,2,0,0,0
720043,1010720043,0,0,0,0,0,0,0,0,0,273,285,312,290,280,262,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,0,0,0,48,1702,45,6,0,0,0,0,0,0,0,0,0,7,8,8,8,7,7,0,0,0
720050,1010720050,0,0,0,0,0,0,0,0,0,386,378,410,342,308,326,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,9,9,9,0,0,0,57,2150,57,6,0,0,0,0,0,0,0,0,0,10,10,11,9,8,9,0,0,0
